33.2,17.2,17.8,19,34.50,37.10,40.30,46.30,55.50,65.80,76.80,85.50
25,24,18,18.5,24.40,25.40,28.20,32.40,38.30,47.00,57.80,70.70
30,24,18,18.5,32.40,35.80,38.30,43.80,52.60,66.40,73.30,76.60
39.1,100,18.8,19,40.5,44.8,49.2,55,65.7,75.1,82.5,89
27,60,19.2,19,27.7,29.1,30,33.1,42.3,51.6,62.1,72.1
30,60,19.2,19,31.5,36.9,40.3,45.3,56.2,65.7,74.1,79.6
36.9,60,19.2,19,40.3,45.3,49.5,56.2,65.7,74.1,79.6,88.4
42.3,60,19.2,19,45.3,51.6,56.2,62.1,72.1,76.9,85.2,92.1
31.6,52,19.9,18.5,32.3,33.2,34.2,37.5,45.6,56.1,66.6,76.1
35,52,19.9,18.5,37.5,42.5,45.6,51.5,62.4,72.9,79.1,88.2
38.6,144,21.1,18.5,39.5,42.5,44.5,49,56.9,67.5,76.9,83
42.5,144,21.1,18.5,44.5,49,52.2,56.9,67.5,76.9,83,89
44.5,144,21.1,18.5,47,52.2,55.4,61,71.4,78.9,85.7,90.4
0,7,17.8,18,2.8,9.5,12.8,18,27.4,37,46.8,51.9
9.5,7,17.8,18,12.8,18,21.8,27.4,37,46.8,51.9,61.4
15.9,7,17.8,18,19.7,25.6,29.2,35,45.3,50.2,59.6,69.1
19.7,7,17.8,18,23.5,29.2,33,39.4,47.9,54.2,62.8,73.1
27.4,7,17.8,18,31.1,37,41.4,46.8,51.9,61.4,71.1,76.7
33,7,17.8,18,37,43.4,46.8,49.1,57.8,66.8,75.3,82.2
37,7,17.8,18,41.4,46.8,48.4,51.9,61.4,71.1,76.7,86.7
43.4,7,17.8,18,46.8,49.1,51.9,57.8,66.8,75.3,82.2,92.8
0.3,110,18.2,20,3.7,10.2,13.4,18.2,26.7,36.1,45.9,52.5
6.6,110,18.2,20,10.2,14.9,18.2,23.1,32.5,42.1,51.2,56
10.2,110,18.2,20,13.4,18.2,21.6,26.7,36.1,45.9,52.5,59.5
14.9,110,18.2,20,18.2,23.1,26.7,32.5,42.1,51.2,56,65.4
20,110,18.2,20,23.1,28.5,32.5,37.9,47.9,53.3,61.3,71.2
25.1,110,18.2,20,28.5,34.3,37.9,44,52,57.6,67.3,76.9
30.7,110,18.2,20,34.3,39.8,44,49.8,54.4,63.3,73.1,78.9
36.1,110,18.2,20,39.8,45.9,49.8,52.5,59.5,69.3,78,82.6
42.1,110,18.2,20,45.9,51.2,52.5,56,65.4,75.1,79.5,88.2
14.2,71.6,18.9,19,15.5,18.8,22.3,26.6,35.3,45.4,50.6,60.7
18.8,71.6,18.9,19,22.3,26.6,29.7,35.3,45.4,50.6,60.7,70.8
24,71.6,18.9,19,26.6,31.5,35.3,41.1,48.2,56.6,67,76.8
29.7,71.6,18.9,19,33.4,39.2,43.7,47.4,54.6,64.8,75.4,79.8
35.3,71.6,18.9,19,39.2,45.4,47.4,50.6,60.7,70.8,78.3,84.6
15.7,115,19.9,20,16.4,18.7,22.3,27.7,37.3,46,51,61.5
20.6,115,19.9,20,24.4,29.9,33.6,39.1,47.2,53,63.6,72.1
26,115,19.9,20,29.9,35.4,39.1,44.5,49.5,59.3,69.6,75.4
31.7,115,19.9,20,35.4,40.9,44.5,47.8,55,65.7,73.1,80.3
37.3,115,19.9,20,40.9,46,47.8,51,61.5,71,77.1,83.9
16.5,114,20.7,17.4,18,22.5,26.1,31.7,42.2,52.9,59.1,68
20.9,114,20.7,17.4,24.5,29.9,33.6,40.1,51,58.4,65.9,75.1
26.1,114,20.7,17.4,29.9,35.5,40.1,46.7,56.5,61.6,71.9,80
31.7,114,20.7,17.4,35.5,42.2,46.7,52.9,59.1,68,76.7,83.5
38,114,20.7,17.4,42.2,48.9,52.9,57.6,63.6,73.5,81.5,86.2
18.7,153,21.8,18.7,20.1,23.8,27,32.1,41.3,51.5,57.4,67
22.6,153,21.8,18.7,25.5,30.5,33.7,39.4,49.3,56.7,64.8,74.6
27,153,21.8,18.7,30.5,35.4,39.4,45.2,55,60.3,71,77.7
32.1,153,21.8,18.7,35.4,41.3,45.2,51.5,57.4,67,76,80.8
37.6,153,21.8,18.7,41.3,47.3,51.5,56.2,62.5,72.8,78.3,86
41.3,153,21.8,18.7,45.2,51.5,55,57.4,67,76,80.8,88.3
43,112,22.4,18.7,43.9,46.7,50,55.4,65.3,76.4,86,90
