Launch speed,tire temperature,tire pressure,track temperature,0.25,0.5,0.75,1,1.5,2,2.5,3,3.5,4,4.5,5
0,8.5,17.1,7,6.30,10.00,12.20,14.30,22.60,28.20,31.80,39.30,45.60,52.70,59.20,65.40
0,25.8,17.1,7,6.10,10.80,17.20,21.40,31.50,33.00,40.70,50.40,59.80,68.40,76.70,85.60
0,31.4,17.8,7.1,5.60,10.70,17.80,22.90,35.20,40.30,48.60,55.60,65.10,74.80,83.50,93.30
0,19.1,18.1,6.9,4.90,12.80,16.80,23.70,35.00,40.50,48.70,57.60,67.40,73.50,83.80,92.50
0,25,17.8,7,4.60,12.00,16.80,23.80,36.00,42.10,49.10,57.00,66.30,75.80,85.30,93.20
0,31,17.6,7,3.30,10.20,14.30,21.00,32.40,39.10,47.60,54.60,64.80,72.30,82.70,90.20
0,17.2,18.1,7,4.80,12.20,16.80,23.20,33.70,43.30,48.20,55.80,64.80,72.70,82.60,90.10
0,30.1,17.1,7.1,3.90,10.90,14.80,20.80,32.50,39.70,49.60,60.00,64.50,70.60,81.40,88.50
0,20.6,17.4,5.4,4.00,11.40,14.50,18.20,26.30,37.60,46.80,53.40,60.30,67.70,76.70,80.10
0,34.2,17.5,5.7,5.30,12.10,16.50,23.20,34.00,45.50,51.80,61.60,71.20,76.00,87.20,98.40
0,30.1,17.6,5.5,4.30,11.10,15.30,21.50,33.60,44.80,50.10,59.30,68.60,72.60,83.00,92.10
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
